BON Tokyo Asakusa,"Sumida Ward, Tokyo",13 reviews,"PKR 32,756",Double Room with Extra Bed,"2 beds (1 double, 1 sofa bed)",8.5
APA Hotel Asakusa Tawaramachi Ekimae,"Taito, Tokyo","9,254 reviews","PKR 15,937",Double Room - Smoking,1 double bed,8.5
Daiwa Roynet Hotel Ginza,"Chuo Ward, Tokyo",714 reviews,"PKR 24,749",Room Selected at Check-In - Non-Smoking,1 large double bed,8.5
APA Hotel Ningyocho Station East,"Chuo Ward, Tokyo",41 reviews,"PKR 15,140",Double Room,1 double bed,7.1
Hotel Monterey Lasoeur Ginza,"Chuo Ward, Tokyo","1,026 reviews","PKR 20,381",Single Room - Non-Smoking,1 single bed,8
Shinjuku Granbell Hotel,"Shinjuku Ward, Tokyo","3,203 reviews","PKR 24,457",Economy Double Room - Non-Smoking,1 double bed,8
Sotetsu Fresa Inn Tokyo-Toyocho,"Koto Ward, Tokyo",668 reviews,"PKR 17,470",Double Room with Small Double Bed - Non-Smoking,1 single bed,8.1
the b shimbashi toranomon,"Minato, Tokyo","1,681 reviews","PKR 18,197",Standard Double Room - Non-Smoking,1 double bed,8.7
Sotetsu Fresa Inn Nihombashi-Ningyocho,"Chuo Ward, Tokyo","1,589 reviews","PKR 14,849",Small Double Room - Non-Smoking,1 single bed,8.5
HOTEL VARKIN (Adult Only),"Toshima, Tokyo",588 reviews,"PKR 30,572",Standard Queen Room,1 extra-large double bed,8.2
Daiwa Roynet Hotel Tokyo Akabane,"Kita, Tokyo",416 reviews,"PKR 20,614",Double Room - Non-Smoking ,1 large double bed,8.1
Daiwa Roynet Hotel Tokyo Akabane,"Kita, Tokyo",416 reviews,"PKR 20,614",Double Room - Non-Smoking ,1 large double bed,8.1
ホテル東京トリップ Hotel Tokyo Trip,"Arakawa, Tokyo",751 reviews,"PKR 16,886",Standard Semi-Double Room Non-Smoking,1 single bed,8.4
Hilton Tokyo Bay,"Urayasu, Tokyo","3,789 reviews","PKR 40,001",Twin Hilton Room Park,2 single beds,8.6
LANG Hotel GINZA,"Chuo Ward, Tokyo",28 reviews,"PKR 15,082",One-Bedroom Apartment,Entire apartment • 1 bedroom • 1 bathroom • 25m²,8.4
cotoha Hotel Okachimachi,"Taito, Tokyo","1,425 reviews","PKR 15,123",Small Twin Room - Non-Smoking,2 single beds,8.5
Roppongi Hotel S,"Minato, Tokyo",524 reviews,"PKR 26,204",Standard Double Room,1 double bed,8.1
APA Hotel Nishi-Azabu,"Minato, Tokyo","1,570 reviews","PKR 18,052",Small Double Room - Non-Smoking,1 single bed,7.2
Hyatt Regency Tokyo,"Shinjuku Ward, Tokyo",528 reviews,"PKR 51,661",King Room,1 large double bed,8.5
karaksa hotel premier Tokyo Ginza,"Minato, Tokyo","1,283 reviews","PKR 41,927",Superior Double Room,1 extra-large double bed,9.2
Nui. HOSTEL & BAR LOUNGE,"Taito, Tokyo",901 reviews,"PKR 17,470",Economy Twin Room,1 bunk bed,8.9
Eisei Stay,"Toshima, Tokyo",200 reviews,"PKR 19,217",Deluxe Triple Room,3 single beds,9.1
Tokyo Guest House Ouji Music Lounge,"Kita, Tokyo","1,374 reviews","PKR 10,191",Double Room with Shared Bathroom,1 double bed,8.3
Sotetsu Fresa Inn Shimbashi-Karasumoriguchi,"Minato, Tokyo","1,257 reviews","PKR 20,090",Double Room - Non-Smoking ,1 double bed,8.2
HOTEL CEN,"Shinjuku Ward, Tokyo","2,280 reviews","PKR 22,405",Double Room,1 double bed,8.5
Toyoko Inn Tokyo Shinagawa Konan-guchi Tennozu Isle,"Shinagawa Ward, Tokyo",34 reviews,"PKR 26,787",Economy Double Room - Smoking,1 double bed,7.6
Hotel Mystays Premier Hamamatsucho,"Minato, Tokyo","2,259 reviews","PKR 18,925",Comfort King Room with Sofa Bed - Non-Smoking,"2 beds (1 sofa bed, 1 large double)",8.5
HOTEL TABARD TOKYO,"Sumida Ward, Tokyo",142 reviews,"PKR 24,136",Double Room,1 double bed,8.3
APA Hotel Asakusabashi-Ekikita,"Taito, Tokyo","2,536 reviews","PKR 15,140",Double Room - Smoking,1 double bed,8.3
APA Hotel Higashi-Nihombashi-Ekimae,"Chuo Ward, Tokyo","2,409 reviews","PKR 15,140",Double Room - Smoking,1 double bed,8
APA Hotel Ochanomizu-Ekikita,"Bunkyo, Tokyo","1,658 reviews","PKR 18,052",Double Room - Non-Smoking ,1 double bed,7.9
HOTEL MYSTAYS Kiyosumi shirakawa,"Koto Ward, Tokyo",695 reviews,"PKR 15,577",Standard Double Room with Small Double Bed - Non-Smoking,1 single bed,8.3
Dai-ichi Hotel Tokyo Seafort,"Shinagawa Ward, Tokyo",643 reviews,"PKR 37,850",Standard Double Room with Harbour View - Non-Smoking,1 large double bed,8.7
Shibuya Hotel En,"Shibuya Ward, Tokyo",934 reviews,"PKR 24,714",Basic Double Room,1 double bed,8.4
Richmond Hotel Tokyo Shiba,"Minato, Tokyo",135 reviews,"PKR 27,660",Standard Double Room - Non-Smoking Check in at 12:00,1 double bed,8.4
Tokyu Stay Shinjuku,"Shinjuku Ward, Tokyo","1,330 reviews","PKR 22,798",Double Room with Small Double Bed - Smoking,1 double bed,8.7
HOTEL MYSTAYS Hamamatsucho,"Minato, Tokyo","1,309 reviews","PKR 13,684",Standard Double Room - Eco Plan (No Daily Cleaning) - Non-Smoking,1 double bed,7.9
DDD HOTEL,"Chuo Ward, Tokyo","1,427 reviews","PKR 21,812",Minimal Double Room,1 double bed,8.7
Onyado Nono Asakusa Natural Hot Spring,"Taito, Tokyo","1,377 reviews","PKR 19,782",Standard Double Room - No Daily Cleaning,1 double bed,9
Hiyori Hotel Tokyo Ginza East,"Chuo Ward, Tokyo",352 reviews,"PKR 23,642",Standard Double Room,1 double bed,8.9
Act Hotel Shibuya,"Meguro Ward, Tokyo",248 reviews,"PKR 27,325",Economy Double Room - Non-Smoking,1 double bed,8.6
Ginza Capital Hotel Akane,"Chuo Ward, Tokyo","1,196 reviews","PKR 13,976",Double Room with Small Double Bed - Non-Smoking,1 single bed,8
APA Hotel Ikebukuro Eki Kitaguchi,"Toshima, Tokyo",995 reviews,"PKR 20,963",Double Room with Small Double Bed - Smoking,1 single bed,7.4
Sakura Cross Hotel Akihabara,"Chiyoda, Tokyo",744 reviews,"PKR 24,021",Triple Room with Shower,"2 beds (1 single, 1 double)",8.8
Tokyu Stay Monzen-Nakacho,"Koto Ward, Tokyo",223 reviews,"PKR 19,799",Double Room with Small Double Bed - Non-Smoking,1 single bed,8.1
Hotel Mystays Premier Akasaka,"Minato, Tokyo","2,856 reviews","PKR 17,178",Superior Double Room Non Smoking - Eco Plan - No Room Cleaning Service,1 double bed,8.5
the b ginza,"Chuo Ward, Tokyo",72 reviews,"PKR 20,963",Double Room,1 large double bed,8.4
Theatel Haneda,"Ota Ward, Tokyo","1,064 reviews","PKR 19,872",Basic Triple Room,"2 beds (1 single, 1 double)",8.1
CITAN Hostel,"Chuo Ward, Tokyo",879 reviews,"PKR 18,925",Twin Room,2 bunk beds,9.1
Shibuya Stream Excel Hotel Tokyu,"Shibuya Ward, Tokyo",969 reviews,"PKR 49,497",Standard Double Room,1 large double bed,8.9
Smile Hotel Nihombashi Mitsukoshimae,"Chuo Ward, Tokyo",295 reviews,"PKR 17,178",Double Room with Small Double Bed - Non-Smoking,1 single bed,7.7
Hotel Kazusaya,"Chuo Ward, Tokyo",10 reviews,"PKR 18,389",Short Stay - Double Room with Small Double Bed - Non Smoking (19:00 Check-in - 9:00 Check-out),1 double bed,8.6
APA Hotel Nihombashi Hamacho-eki Minami,"Chuo Ward, Tokyo","1,229 reviews","PKR 13,393",Double Room with Small Double Bed  - Non-Smoking,1 single bed,7.8
APA Hotel Higashi-Shinjuku-Ekimae,"Shinjuku Ward, Tokyo","1,234 reviews","PKR 18,052",Double Room with Small Double Bed - Smoking,1 single bed,7.8
Daiwa Roynet Hotel Tokyo Osaki,"Shinagawa Ward, Tokyo",329 reviews,"PKR 26,496",Standard Double Room - Non-Smoking,1 large double bed,8.2
Ai Hotel Keikyu Kamata,"Ota Ward, Tokyo",393 reviews,"PKR 19,816",Double Room with Small Double Bed,1 double bed,7.9
Dormy Inn Premium Shibuya-jingumae,"Shibuya Ward, Tokyo",926 reviews,"PKR 37,852",Double Room - Non-Smoking - No Daily Cleaning,1 double bed,8.3
Sotetsu Fresa Inn Tokyo Kinshicho,"Sumida Ward, Tokyo","1,893 reviews","PKR 21,523",Twin Room - Non-Smoking,2 single beds,8.6
Tosei Hotel Cocone Kanda,"Chiyoda, Tokyo",845 reviews,"PKR 12,840",Double Room with Small Double Bed - Non-Smoking,1 double bed,8.4
The Gate Hotel Asakusa Kaminarimon by Hulic,"Taito, Tokyo",921 reviews,"PKR 24,988",15㎡ Double Room with Small Double Bed- Non Smoking,1 double bed,8.9
Hotel Monterey Akasaka,"Minato, Tokyo","1,363 reviews","PKR 20,381",Double Room with Small Double Bed - Non-Smoking,1 single bed,8.5
Hotel Monterey Akasaka,"Minato, Tokyo","1,363 reviews","PKR 20,381",Double Room with Small Double Bed - Non-Smoking,1 single bed,8.5
Shizutetsu Hotel Prezio Tokyo Tamachi,"Minato, Tokyo",285 reviews,"PKR 25,331",Single Room,1 single bed,9
Dormy Inn Ikebukuro,"Toshima, Tokyo",80 reviews,"PKR 27,483",【Tokyo Residents Only - Check in after 2PM】Standard Double Room,1 double bed,9.1
Courtyard by Marriott Tokyo Ginza,"Chuo Ward, Tokyo",263 reviews,"PKR 46,727",Economy Double Room - Non-Smoking,1 double bed,8.4
Tokyo Guest House 2020,"Arakawa, Tokyo",436 reviews,"PKR 10,482",Budget Double Room,1 double bed,8.4
ELM Takadanobaba -無人チェックイン-,"Shinjuku Ward, Tokyo",97 reviews,"PKR 10,191",Standard Double Room,"2 beds (1 double, 1 futon)",7.8
Grids Tokyo Ueno Hotel&Hostel,"Taito, Tokyo",944 reviews,"PKR 14,080",Twin Room with Shared Bathroom,2 bunk beds,8.5
Dai-ichi Hotel Annex,"Chiyoda, Tokyo",320 reviews,"PKR 19,866",Standard Double Room with Small Double Bed -  Non-Smoking,1 double bed,8.2
Sanco Inn Grande Tokyo Hamamatsucho,"Minato, Tokyo",365 reviews,"PKR 27,290",Double Room - Smoking,1 double bed,8.6
Super Hotel Akihabara Suehirocho,"Taito, Tokyo","2,026 reviews","PKR 21,546",Standard Double Room - Non-Smoking,1 double bed,8.7
Dormy Inn Korakuen,"Bunkyo, Tokyo","1,661 reviews","PKR 22,671",Room Selected at Check In,1 single bed,8.7
KARIO SASAZUKA TERRACE,"Shibuya Ward, Tokyo",621 reviews,"PKR 34,648",Standard Apartment,Private apartment • 1 bedroom • 1 living room • 1 bathroom • 19m²,8.8
Hotel Rose Garden Shinjuku,"Shinjuku Ward, Tokyo",924 reviews,"PKR 27,951",Renovated Room Selected at Check-in - Non-Smoking,Null,8.2
APA Hotel - Higashishinjuku Kabukicho Higashi,"Shinjuku Ward, Tokyo","1,390 reviews","PKR 18,052",Double Room - Non-Smoking ,1 double bed,8
JR Kyushu Hotel Blossom Shinjuku,"Shibuya Ward, Tokyo","1,382 reviews","PKR 35,958",Double Room - Non-Smoking ,1 large double bed,8.7
Richmond Hotel Asakusa,"Taito, Tokyo",314 reviews,"PKR 20,228",Double Room - Non-Smoking ,1 double bed,8.7
アパホテル 上野駅北,"Taito, Tokyo","1,722 reviews","PKR 14,849",Standard Double Room - Non-Smoking,1 double bed,7.7
Hotel Monterey Hanzomon,"Chiyoda, Tokyo","2,705 reviews","PKR 20,381",Double Room with Small Double Bed - Non-Smoking,1 single bed,8.5
Grids Tokyo Asakusa-bashi Hotel＆Hostel,"Taito, Tokyo","1,810 reviews","PKR 17,330",Female Twin Room,2 single beds,8.7
nine hours woman Kanda,"Chiyoda, Tokyo","1,805 reviews","PKR 13,976",Special Offer - 2 Capsule Rooms for Female - Non-Smoking,Shared dormitory room,8.5
Henn na Hotel Tokyo Ginza,"Chuo Ward, Tokyo",660 reviews,"PKR 19,538",Standard Double Room,1 large double bed,8.1
Smile Hotel Sugamo,"Toshima, Tokyo",523 reviews,"PKR 22,128",Double Room with Small Double Bed - Non-Smoking,1 single bed,8.2
the b suidobashi,"Bunkyo, Tokyo","1,698 reviews","PKR 18,925",Superior Single Room - Non-Smoking,1 single bed,7.7
Henn na Hotel Maihama Tokyo Bay,"Urayasu, Tokyo","1,436 reviews","PKR 25,113",Standard Twin Room,"3 beds (2 singles, 1 sofa bed)",8.2
APA Hotel Ueno Inaricho Ekikita,"Taito, Tokyo","1,062 reviews","PKR 15,140",Standard Room - Non-Smoking (2 Adults),1 double bed,8.4
Tokyo Bay Shiomi Prince Hotel,"Koto Ward, Tokyo",103 reviews,"PKR 47,401",Standard King Room,"2 beds (1 extra-large double, 1 sofa bed)",9.2
Henn na Hotel Tokyo Akasaka,"Minato, Tokyo","1,461 reviews","PKR 15,286",Double Room with Small Double Bed - Non-Smoking,1 double bed,8.4
Red Roof Inn Kamata / Haneda Tokyo,"Ota Ward, Tokyo",714 reviews,"PKR 15,905",Double Room with Shower,1 double bed,8.3
Hotel Sardonyx Ueno,"Taito, Tokyo","2,391 reviews","PKR 19,636",Standard Room - Non-Smoking (2 Adults),1 double bed,8.6
Super Hotel Shinjuku Kabukicho,"Shinjuku Ward, Tokyo","2,815 reviews","PKR 19,653",Double Room - Non-Smoking ,1 double bed,8.5
HOTEL SUI AKASAKA by ABEST,"Minato, Tokyo","3,087 reviews","PKR 16,014",Standard Double Room - Non-Smoking,1 double bed,8.9
APA Hotel Asakusa Kuramae,"Taito, Tokyo","3,032 reviews","PKR 15,140",Double Room - Smoking,1 double bed,7.9
Rhodes Kagurazaka Hotel,"Shinjuku Ward, Tokyo","1,645 reviews","PKR 15,140",Double Room,1 double bed,7.8
Luana Shibuya,"Shibuya Ward, Tokyo",57 reviews,"PKR 19,674",Standard Twin Room,2 single beds,8.6
TSUKI Tokyo,"Chuo Ward, Tokyo",376 reviews,"PKR 29,116",Superior Double Room,1 large double bed,9.1
Guanjing Apartment,"Shinjuku Ward, Tokyo",356 reviews,"PKR 13,792",Apartment With Shared Bathroom,Entire apartment • 1 bedroom • 1 living room • 1 bathroom,8.3
MONday Apart Hamamatsucho Daimon,"Minato, Tokyo",21 reviews,"PKR 44,547",Deluxe Twin Room,2 single beds,9
Center Hotel Tokyo,"Chuo Ward, Tokyo",615 reviews,"PKR 20,090",Semi Double Room - Non-Smoking ,1 single bed,7.7
APA Hotel Kodemmacho-ekimae,"Chuo Ward, Tokyo","1,505 reviews","PKR 15,140",Double Room - Non-Smoking ,1 double bed,7.9
Henn na Hotel Tokyo Asakusabashi,"Taito, Tokyo","1,187 reviews","PKR 16,090",Standard Double Room,1 double bed,8.1
Mitsui Garden Hotel Gotanda,"Shinagawa Ward, Tokyo","4,795 reviews","PKR 29,844",Comfort Double Room,1 double bed,8.9
Super Hotel Premier Akasaka,"Minato, Tokyo","3,317 reviews","PKR 15,998",Room Selected at Check-In,1 double bed,8.9
MONday Apart Premium UENO,"Taito, Tokyo",Null,"PKR 44,134",Deluxe Double Room,1 double bed,Null
IMPREST STAY Tokyo Kamata,"Ota Ward, Tokyo",70 reviews,"PKR 42,043",Standard Family Room,"5 beds (2 singles, 1 double, 2 futons)",8.9
Sotetsu Fresa Inn Ochanomizu Jimbocho,"Chiyoda, Tokyo","1,773 reviews","PKR 20,090",Double Room - Smoking,1 double bed,8.4
The South Hotel Tokyo,"Setagaya, Tokyo",44 reviews,"PKR 42,466",Deluxe Family Room (5 Adults),5 single beds,8.7
MONday Apart Ueno Shinokachimachi,"Taito, Tokyo",34 reviews,"PKR 41,927",Deluxe Double Room,1 double bed,9
Hotel Niwa Tokyo,"Chiyoda, Tokyo","1,725 reviews","PKR 30,397",Standard Double Room - Non-Smoking,1 double bed,8.8
Nishitetsu Inn Kamata,"Ota Ward, Tokyo",469 reviews,"PKR 17,470",Double Room with Private Bathroom - Smoking,1 double bed,8.4
La'gent Hotel Shinjuku Kabukicho,"Shinjuku Ward, Tokyo",664 reviews,"PKR 25,040",Standard Double Room,1 double bed,8.4
Best Western Tokyo Nishikasai,"Edogawa, Tokyo","2,079 reviews","PKR 14,019",Double Room with Small Double Bed - Smoking,1 single bed,7.7
Hotel Gracery Shinjuku,"Shinjuku Ward, Tokyo","3,246 reviews","PKR 32,901",Double Room - Non-Smoking ,1 double bed,8.5
Akasaka Residence II7,"Minato, Tokyo",15 reviews,"PKR 56,577",Two-Bedroom Apartment,Entire apartment • 2 bedrooms • 1 living room • 1 bathroom • 55m²,8.5
Sotetsu Fresa Inn Higashi Shinjuku,"Shinjuku Ward, Tokyo","2,554 reviews","PKR 20,583",Double Room - Non-Smoking ,1 double bed,8.3
Hotel Musse Ginza Meitetsu,"Chuo Ward, Tokyo","1,211 reviews","PKR 30,630", Double Room with Small Double Bed - Non-Smoking,1 double bed,8.6
Ueno Residence Hotel Matsumoto,"Taito, Tokyo",40 reviews,"PKR 58,232",Duplex Apartment,Entire apartment • 2 bedrooms • 2 living rooms • 2 bathrooms • 80m²,9
E Hotel Higashi Shinjuku,"Shinjuku Ward, Tokyo","1,196 reviews","PKR 19,799",Double Room - Non-Smoking ,1 double bed,7.6
Hotel Lumiere Nishikasai,"Edogawa, Tokyo",862 reviews,"PKR 16,991",Double Room with Small Double Bed - Smoking,1 single bed,8.1
Goethe Hotel Omori,"Shinagawa Ward, Tokyo",282 reviews,"PKR 20,381",Queen Room - Smoking,1 large double bed,8.2
Sotetsu Fresa Inn Shimbashi Hibiyaguchi,"Minato, Tokyo",354 reviews,"PKR 20,090",Double Room - Smoking,1 double bed,7.8
Tabata Oji Hotel,"Kita, Tokyo",483 reviews,"PKR 11,646",Double Room - Smoking,1 double bed,7.1
Imano Tokyo Ginza Hostel,"Chuo Ward, Tokyo","2,075 reviews","PKR 24,551",Japanese Style - Double or Twin Room,2 futon beds,8.7
Tokyo Prince Hotel,"Minato, Tokyo","1,116 reviews","PKR 40,051",Superior Double Room - Non-Smoking,1 large double bed,8.5
Henn na Hotel Tokyo Nishikasai,"Edogawa, Tokyo","1,626 reviews","PKR 15,286",Standard Double Room - Non-Smoking,1 double bed,8.3
Dormy Inn Global Cabin Asakusa,"Taito, Tokyo",801 reviews,"PKR 20,693",Double Room - Station Side - Non-Smoking - No Daily Cleaning,1 double bed,8.4
"&AND HOSTEL KURAMAE WEST ""Wellness Cafe & Bar""","Taito, Tokyo",485 reviews,"PKR 8,575",Standard Double Room with Shared Bathroom,1 double bed,8.4
Super Hotel Tokyo Kameido,"Koto Ward, Tokyo",130 reviews,"PKR 22,373",Double Room,1 double bed,8.3
Premier Hotel Cabin Shinjuku,"Shinjuku Ward, Tokyo",488 reviews,"PKR 16,016",Renovated Double Room with Small Double Bed - Non-Smoking,1 single bed,8
The Share Hotels Lyuro Tokyo Kiyosumi,"Koto Ward, Tokyo","1,848 reviews","PKR 17,295",Two Bunk Beds in 14-Bed Mixed Dormitory Room,Shared dormitory room,9
Tokyu Stay Suidobashi,"Chiyoda, Tokyo",718 reviews,"PKR 24,749",Moderate Double Room with Small Double Bed - Smoking,1 double bed,8.3
Hotel Keihan Asakusa,"Taito, Tokyo","1,957 reviews","PKR 13,179",Double Room with Small Double Bed - Non-Smoking,1 double bed,8.1
Dormy Inn Tokyo Hatchobori Hot Spring,"Chuo Ward, Tokyo",398 reviews,"PKR 26,563",Standard Double Room - Non-Smoking,1 double bed,8.6
Grand Nikko Tokyo Daiba,"Minato, Tokyo","3,412 reviews","PKR 43,827",Superior Twin Room - Non-Smoking,2 single beds,8.8
APA Hotel Shintomicho-Ekikita,"Chuo Ward, Tokyo","1,274 reviews","PKR 15,140",Double Room - Non-Smoking ,1 double bed,8.3
Hotel Amanek Ginza East,"Chuo Ward, Tokyo",484 reviews,"PKR 16,014",Double Room - Non-Smoking ,1 double bed,8.2
Hotel Amanek Ginza East,"Chuo Ward, Tokyo",484 reviews,"PKR 16,014",Double Room - Non-Smoking ,1 double bed,8.2
Best Western Tokyo Nishikasai Grande,"Edogawa, Tokyo","2,146 reviews","PKR 16,247",Economy Double Room,1 single bed,8.6
Onsen Ryokan Yuen Bettei Tokyo Daita,"Setagaya, Tokyo",84 reviews,"PKR 82,980",Standard Double Room with  Private Japanese Garden,1 double bed,8.6
Hotel Keihan Tokyo Yotsuya,"Shinjuku Ward, Tokyo","1,494 reviews","PKR 24,603",Last Minutes - Small Double Room - Smoking,1 double bed,8.6
Hotel Sardonyx Tokyo,"Chuo Ward, Tokyo",186 reviews,"PKR 23,293",Room Selected at Check-In - Non-Smoking,1 double bed,8.8
Royal Park Hotel,"Chuo Ward, Tokyo",912 reviews,"PKR 48,915",Standard Double Room - Non-Smoking,1 large double bed,8.6
Sakura Hotel Ikebukuro,"Toshima, Tokyo","1,365 reviews","PKR 17,178",Standard Double Room,1 double bed,7.9
Ostay Nippori Hotel Apartment (Nishi-Nippori Sta.),"Arakawa, Tokyo",167 reviews,"PKR 17,277",Superior Apartment,Entire apartment • 1 bedroom • 1 bathroom • 26m²,8.4
Apartment Hotel Shinjuku,"Shinjuku Ward, Tokyo",873 reviews,"PKR 17,866",Double Room with Small Double Bed,1 double bed,7.8
Sakura Cross Hotel Ueno Okachimachi,"Taito, Tokyo",592 reviews,"PKR 16,972",Double Room,"2 beds (1 double, 1 futon)",8.8
Ginza Creston,"Chuo Ward, Tokyo",324 reviews,"PKR 35,521",Room Selected at Check-In - Smoking,1 single bed,8.5
The Wardrobe Hostel FOREST Shibuya Shimokitazawa,"Setagaya, Tokyo",331 reviews,"PKR 17,470",Double Room,1 double bed,7.5
Apartment Sun Bright Shinagawa,"Shinagawa Ward, Tokyo",454 reviews,"PKR 16,305",One-Bedroom Apartment,Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 18m²,8
Rihga Royal Hotel Tokyo,"Shinjuku Ward, Tokyo",616 reviews,"PKR 50,836",Standard Double Room - Non-Smoking,1 large double bed,8.7
Sakura Hotel Jimbocho,"Chiyoda, Tokyo","1,134 reviews","PKR 24,715",Triple Room with Shared Bathroom,"2 beds (1 bunk bed, 1 sofa bed)",8.4
Ginza Capital Hotel Moegi,"Chuo Ward, Tokyo",472 reviews,"PKR 17,470",Standard Double Room,1 large double bed,8.8
Hotel Grand Arc Hanzomon,"Chiyoda, Tokyo","1,289 reviews","PKR 39,598",Double Room,1 double bed,8.6
Studio Inn Nishi Shinjuku,"Shinjuku Ward, Tokyo",169 reviews,"PKR 17,470",Double Room,1 double bed,9.1
Khaosan Tokyo Kabuki,"Taito, Tokyo",603 reviews,"PKR 7,623",Twin Room,1 bunk bed,8.8
Hotel Gracery Asakusa,"Taito, Tokyo","3,124 reviews","PKR 21,357",<Special Offer> Double Room - Non-Smoking ,1 double bed,9.2
Khaosan Tokyo Origami,"Taito, Tokyo",824 reviews,"PKR 8,327",Twin Room with Bunk Beds and Shared Bathroom,2 bunk beds,9
Belken Hotel Kanda,"Chiyoda, Tokyo","1,290 reviews","PKR 22,710",Superior Single Room - Non-Smoking (2 Adults),1 single bed,8.9
Hotel Shu,"Shinjuku Ward, Tokyo",132 reviews,"PKR 17,004",Deluxe Double Room,1 double bed,7.5
THE BLOSSOM HIBIYA,"Minato, Tokyo",624 reviews,"PKR 49,497",Standard Double Room,1 large double bed,9
Nishitetsu Inn Nihonbashi,"Chuo Ward, Tokyo","1,564 reviews","PKR 24,457",Double Room - Non-Smoking ,1 large double bed,8.6
japan house sky tree,"Sumida Ward, Tokyo",27 reviews,"PKR 14,343",Double Room with Private Bathroom,1 double bed,7.7
Bay Hotel Urayasu-ekimae,"Urayasu, Tokyo","1,180 reviews","PKR 32,181",Standard Twin Room,2 double beds,8.9
Richmond Hotel Tokyo Mejiro,"Toshima, Tokyo",684 reviews,"PKR 22,876",Standard Double Room with No Window - Smoking,1 double bed,8.4
Hotel Asia Center of Japan,"Minato, Tokyo",452 reviews,"PKR 23,293",Standard Double Room - Non-Smoking,1 double bed,8.7
Hiyori Hotel Maihama,"Urayasu, Tokyo","2,176 reviews","PKR 22,710",Standard Double Room,1 double bed,9.2
Numero Uno Tokyo,"Ota Ward, Tokyo",40 reviews,"PKR 13,976",Standard Twin Room,2 single beds,8.2
Dormy Inn Ueno Okachimachi,"Taito, Tokyo",449 reviews,"PKR 21,728",Double Room with Small Double Bed - Smoking - No Daily Cleaning,1 single bed,8.4
Citadines Shinjuku Tokyo,"Shinjuku Ward, Tokyo","1,193 reviews","PKR 24,661",Studio Double Room,1 double bed,8.8
APA Hotel Nihombashi Bakurocho Eki-Kita,"Chiyoda, Tokyo",981 reviews,"PKR 15,140",Double Room - Smoking,1 double bed,8.4
TIME SHARING ikebukuro,"Toshima, Tokyo",50 reviews,"PKR 20,841",Standard Apartment (Non Smoking),Entire apartment • 1 bedroom • 1 bathroom • 21m²,8.7
Khaosan World Asakusa Ryokan & Hostel,"Taito, Tokyo","1,413 reviews","PKR 13,941",Double Room with Private Bathroom,1 double bed,7.9
Candeo Hotels Ueno Park,"Taito, Tokyo","1,050 reviews","PKR 19,855",Double Room - Smoking,1 double bed,7.8
Hotel Ryumeikan Tokyo,"Chuo Ward, Tokyo",924 reviews,"PKR 36,686",Economy Double Room With Small Double Bed,1 double bed,9
Grand Park Hotel Panex Tokyo,"Ota Ward, Tokyo",381 reviews,"PKR 19,653",Double Room with Small Double Bed - Non-Smoking,1 single bed,7.4
Ueno Touganeya Hotel,"Taito, Tokyo",472 reviews,"PKR 19,217",Double Room,1 double bed,8.7
hotel aima,"Taito, Tokyo",10 reviews,"PKR 19,984",Superior Twin Room,2 double beds,9
Dai-ichi Hotel Tokyo,"Minato, Tokyo","1,024 reviews","PKR 55,320",Standard Double Room - Non-Smoking,1 large double bed,9
Oriental Hotel Tokyo Bay,"Urayasu, Tokyo","2,916 reviews","PKR 30,979",Standard Twin Room,2 single beds,8.5
HOTEL 1899 TOKYO,"Minato, Tokyo",697 reviews,"PKR 33,483",Standard Double Room,1 large double bed,9.2
Sheraton Miyako Hotel Tokyo,"Minato, Tokyo",266 reviews,"PKR 51,581","STANDARD QUEEN, Guest room, 1 Queen, City view",1 extra-large double bed,8.3
Annex Katsutaro Ryokan,"Taito, Tokyo",232 reviews,"PKR 33,192",Japanese-Style Standard Twin Room,2 futon beds,8.8
Sophiearth Apartment,"Shinjuku Ward, Tokyo",563 reviews,"PKR 10,482",Budget Double Room,1 double bed,6.9
Ebisuholic Hotel,"Shibuya Ward, Tokyo",484 reviews,"PKR 57,650",Double Room with Shower Only - Non-Smoking,1 large double bed,8.2
Shibuya Tobu Hotel,"Shibuya Ward, Tokyo","1,116 reviews","PKR 33,713",Double Room with Small Double Bed - Non-Smoking,1 single bed,8.1
"ANA InterContinental Tokyo, an IHG Hotel","Minato, Tokyo",998 reviews,"PKR 76,008",Classic Queen Room - Non-Smoking,1 large double bed,8.2
Citadines Central Shinjuku Tokyo,"Shinjuku Ward, Tokyo","1,926 reviews","PKR 24,661",Double Room,1 double bed,8.5
Mitsui Garden Hotel Jingugaien Tokyo Premier,"Shinjuku Ward, Tokyo","2,205 reviews","PKR 43,150",Standard Twin Room,2 single beds,8.9
Sakura Cross Hotel Shinjuku East,"Shinjuku Ward, Tokyo","1,009 reviews","PKR 33,677",Twin Room with Private Bathroom,2 double beds,8.7
Tmark City Hotel Tokyo Omori,"Ota Ward, Tokyo","2,157 reviews","PKR 25,110",Double Room - Non-Smoking ,1 large double bed,8.8
HOTEL BAMBOO GARDEN 錦糸町 Adult Only,"Sumida Ward, Tokyo",322 reviews,"PKR 65,220",King Room,"3 beds (2 singles, 1 large double)",8.7
